ZIP,STATE,TOTAL_DEPOSITS,BRANCH_COUNT,LAT,LON,AVG_DEPOSIT_PER_BRANCH,NORM_DEPOSIT_BASE,NORM_BRANCH_DENSITY,OPPORTUNITY_SCORE,CAPTURE_PCT,EXPECTED_CAPTURE_USD
10017,NY,744591256000,20,40.752635481056984,-73.97601430182037,37229562800.0,739.1580777372144,4.865179489956143,441.5487748463462,0.1,74459125600.0
57108,SD,531388675000,31,43.493394320453234,-96.74503471432254,17141570161.290323,527.5112061540585,7.541028209432022,313.4903124086623,0.1,53138867500.0
84111,UT,485479315000,22,40.76459471613094,-111.88681041383626,22067241590.909092,481.936840333483,5.351697438951757,287.0214252245091,0.1,48547931500.0
28202,NC,397796853000,10,35.22389043161951,-80.84398215445802,39779685300.0,394.8941849961682,2.4325897449780713,235.96347509970968,0.1,39779685300.0
57105,SD,344742581000,6,43.521224890612636,-96.74064478219515,57457096833.333336,342.22704259922966,1.459553846986843,204.75240402074303,0.1,34474258100.0
84070,UT,327350994000,12,40.56793374620326,-111.89229800021575,27279249500.0,324.96235957732813,2.919107693973686,193.8097726688074,0.1,32735099400.0
19801,DE,326004592000,16,39.745315343829986,-75.55032819849261,20375287000.0,323.62578208442574,3.8921435919649143,192.61861181386945,0.1,32600459200.0
76262,TX,241408359000,11,33.00221776683411,-97.21590045415269,21946214454.545456,239.64683596571183,2.6758487194758787,142.71776209163673,0.1,24140835900.0
10007,NY,230785413000,10,40.71343938632591,-74.0100001947761,23078541300.0,229.1014041170383,2.4325897449780713,136.48780657223176,0.1,23078541300.0
10282,NY,226112000000,1,40.7142562748465,-74.0142375668577,226112000000.0,224.46209235811523,0.24325897449780715,134.57995182507003,0.1,22611200000.0
10577,NY,212449000000,1,41.0166893391948,-73.7096112937246,212449000000.0,210.8987893583234,0.24325897449780715,126.4419700251949,0.1,21244900000.0
02114,MA,208846743000,6,42.36278801262933,-71.0639439207835,34807790500.0,207.32281752387115,1.459553846986843,123.80986897552795,0.1,20884674300.0
94104,CA,211103304000,20,37.79247484559258,-122.4019429393559,10555165200.0,209.56291271383773,4.865179489956143,123.79167583232017,0.1,21110330400.0
77002,TX,151596964000,11,29.75709663438727,-95.36746563512844,13781542181.818182,150.49078215476342,2.6758487194758787,89.2241298050677,0.1,15159696400.0
60603,IL,146350309000,12,41.88080046697119,-87.63029180824422,12195859083.333334,145.28241126254557,2.919107693973686,86.00180367993786,0.1,14635030900.0
45202,OH,136298577000,14,39.102734857544185,-84.5107392739621,9735612642.857143,135.3040253451992,3.4056256429693,79.8201649499318,0.1,13629857700.0
10001,NY,127160315000,28,40.74935308660256,-73.9916190728934,4541439821.428572,126.23244396501302,6.8112512859386,73.01496586463237,0.1,12716031500.0
75202,TX,115457229000,3,32.7847649961639,-96.80376432687221,38485743000.0,114.61475374686023,0.7297769234934215,68.47694147871877,0.1,11545722900.0
84020,UT,113540235000,16,40.52458655944773,-111.88468500608006,7096264687.5,112.71174778398363,3.8921435919649143,66.0701912336042,0.1,11354023500.0
10036,NY,107769037000,22,40.756611963007444,-73.98427771982794,4898592590.909091,106.98266140867861,5.351697438951757,62.04891786962646,0.1,10776903700.0
60606,IL,96047221000,14,41.88126378399518,-87.63693886015191,6860515785.714286,95.34637786071639,3.4056256429693,55.84557645924211,0.1,9604722100.0
19808,DE,96250176000,20,39.7344599744141,-75.65498758760461,4812508800.0,95.54785192646496,4.865179489956143,55.382639359896515,0.1,9625017600.0
78288,TX,92765000000,1,29.54185693824,-98.575061994233,92765000000.0,92.08810676832967,0.24325897449780715,55.155560471198676,0.1,9276500000.0
19950,DE,90994192000,1,38.805634979534,-75.584477994398,90994192000.0,90.33022010665542,0.24325897449780715,54.100828474194124,0.1,9099419200.0
10022,NY,93611488000,47,40.75950020134868,-73.97098545995287,1991733787.2340426,92.92841806377633,11.433171801396936,51.183782117707025,0.1,9361148800.0
55402,MN,86718788000,19,44.9762470089609,-93.27125572227524,4564146736.842105,86.08601313172151,4.621920515458336,49.80283967284957,0.1,8671878800.0
15222,PA,84954827000,20,40.4433193055183,-79.99806522671045,4247741350.0,84.33492350844581,4.865179489956143,48.65488230908503,0.1,8495482700.0
22102,VA,74534452000,11,38.92287436813249,-77.22603413059029,6775859272.727273,73.99058452751515,2.6758487194758787,43.32401122871874,0.1,7453445200.0
02110,MA,65298834000,13,42.35500400816498,-71.05638504184971,5022987230.769231,64.8223575404456,3.162366668471493,37.62846785687876,0.1,6529883400.0
44114,OH,64169963000,9,41.502401442966665,-81.68742278669383,7129995888.888889,63.70172375425823,2.1893307704802645,37.34530194436283,0.1,6416996300.0
43215,OH,63623558000,15,39.96416410429598,-83.00069024739823,4241570533.3333335,63.159305795127636,3.6488846174671075,36.436029630089735,0.1,6362355800.0
32225,FL,59278572000,11,30.32868536543167,-81.52480072158868,5388961090.909091,58.846024550316585,2.6758487194758787,34.2372752423996,0.1,5927857200.0
75201,TX,61580104000,26,32.80085927016223,-96.80234185398453,2368465538.4615383,61.130762593185416,6.324733336942986,34.14856422113406,0.1,6158010400.0
90071,CA,55825567000,17,34.05181702721653,-118.25405208637305,3283856882.352941,55.41821564489346,4.135402566462721,31.596768360350982,0.1,5582556700.0
27609,NC,55191037000,21,35.84246320903736,-78.63173305807189,2628144619.047619,54.78831572156345,5.1084384644539504,30.82961404715649,0.1,5519103700.0
55101,MN,48629634000,4,44.94749799019075,-93.09356399024543,12157408500.0,48.27479036163202,0.9730358979912286,28.57565985778272,0.1,4862963400.0
48226,MI,47245082000,7,42.332239837905284,-83.04793145140945,6749297428.571428,46.90034124394427,1.70281282148465,27.4590796177727,0.1,4724508200.0
02109,MA,46588628000,9,42.35812184045004,-71.05608775795258,5176514222.222222,46.248677296976155,2.1893307704802645,26.873474069993588,0.1,4658862800.0
10019,NY,48261209000,23,40.76379776792191,-73.98149120906814,2098313434.7826087,47.90905370733221,5.594956413449564,26.5074496590195,0.1,4826120900.0
33131,FL,49126013000,38,25.766591774542476,-80.1903610544803,1292789815.7894738,48.7675473534884,9.243841030916672,25.56299199972637,0.1,4912601300.0
00918,PR,41971141000,9,18.42124433081921,-66.06177374235273,4663460111.111111,41.66488345385241,2.1893307704802645,24.12319776411934,0.1,4197114100.0
84121,UT,41580867000,12,40.63126741776214,-111.82957093222025,3465072250.0,41.277457228649986,2.919107693973686,23.598831259600516,0.1,4158086700.0
95054,CA,38852094000,3,37.386393671508635,-121.965695313219,12950698000.0,38.56859570360783,0.7297769234934215,22.84924665276733,0.1,3885209400.0
